Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
Chocolate,tt1183252,06 Feb 2008,"Action, Drama","JeeJa Yanin, Hiroshi Abe, Pongpat Wachirabunjong","Napalee, Chookiat Sakveerakul",Prachya Pinkaew,An autistic girl with powerful martial art skills looks to settle her ailing mother's debts by seeking out the ruthless gangs that owe her family money.,6.9,"18,108"
Khichdi: The Movie,tt1738293,01 Oct 2010,"Comedy, Family","Anang Desai, Supriya Pathak, Rajeev Mehta",Aatish Kapadia,Aatish Kapadia,"In order to immortalize his love, a groom decides to create conflict between his and his to-be bride's families.",7.2,"2,510"
Hello,tt1087856,10 Oct 2008,"Drama, Romance","Sharman Joshi, Amrita Arora, Sohail Khan","Atul Agnihotri, Chetan Bhagat, Jalees Sherwani",Atul Agnihotri,Call-center workers receive a phone call from God.,3.3,"2,140"
Rock On 2,tt2137241,11 Nov 2016,"Drama, Music","Farhan Akhtar, Shraddha Kapoor, Arjun Rampal","Abhishek Kapoor, Pubali Chaudhuri, Farhan Akhtar",Shujaat Saudagar,"The band, Magik reunites with some new members.",4.9,"2,166"
Marigold,tt0329354,17 Aug 2007,"Comedy, Music, Romance","Salman Khan, Ali Larter, Nandana Sen",Willard Carroll,Willard Carroll,Ali Larter plays an American actress who becomes immersed in the Bollywood film world.,5.0,"1,976"
Yaadon Ki Baaraat,tt0329354,17 Aug 2007,"Comedy, Music, Romance","Salman Khan, Ali Larter, Nandana Sen",Willard Carroll,Willard Carroll,Ali Larter plays an American actress who becomes immersed in the Bollywood film world.,5.0,"1,976"
Kya Dilli Kya Lahore,tt2063745,02 May 2014,"Drama, History, War","Vijay Raaz, Manu Rishi Chadha, Raj Zutshi","Aseem Arrora, Manu Rishi Chadha, Gulzar","Vijay Raaz, Karan Arora","In 1948, a cross-fire erupts at an isolated stretch of Indo-Pak border, leaving only two soldiers alive. One is an Indian soldier of Pakistani origin while the other happens to be a Pakistani soldier of Indian origin. An ironic st...",7.3,"1,892"
Umrao Jaan,tt0485522,03 Nov 2006,"Drama, Romance","Aishwarya Rai Bachchan, Shabana Azmi, Suniel Shetty","J.P. Dutta, O.P. Dutta, Mirza Muhammad Hadi Ruswa",J.P. Dutta,"J.P. Dutta's adaption of the Urdu novel ""Umrao Jan Ada"" by Mirza Haadi Ruswa (1905).",5.5,"1,945"
Prince,tt1455816,09 Apr 2010,"Action, Sci-Fi, Thriller","Vivek Oberoi, Isaiah, Aruna Shields","Shiraz Ahmed, Mayur Puri, Sameer",Kookie Gulati,A wanted thief races against time to find an antique coin after he commits the biggest heist of his life and wakes up the next day with no memories.,4.4,"2,148"
Prahaar: The Final Attack,tt0102701,29 Nov 1991,"Drama, Thriller, Action","Nana Patekar, Dimple Kapadia, Gautam Joglekar","Hriday Lani, Nana Patekar, Sujit Sen","Subhankar Ghosh, Nana Patekar","Prahaar is the story of Major Chavan, a tough and stern soldier, trained to destroy the enemy. He can see the enemy on our borders but is unaware of the invisible enemy within ourselves. When one of Major's Commandos - Peter D'Sou...",8.0,"1,959"
Aalavandhan,tt0294264,16 Nov 2001,"Action, Crime, Thriller","Kamal Haasan, Raveena Tandon, Manisha Koirala","H. Banerjee, Kamal Haasan, Amitabh Srivastava",Suresh Krishna,"Nandu and Vijay are brothers, who were abused by their stepmother during their younger days. Nandhu, who is mentally ill, decides to kill Vijay's fiancee as he visualizes her as his stepmother.",7.1,"2,448"
Shakti,tt0084667,01 Oct 1982,"Action, Crime, Drama","Dilip Kumar, Amitabh Bachchan, Rakhee Gulzar","Javed Akhtar, Salim Khan",Ramesh Sippy,A scrupulously honest cop refuses kidnappers' demands at grave risk to the life of his son. The son is rescued but lives forever scarred by his father's willingness to sacrifice his own son for the sake of his principles. This wor...,7.6,"2,146"
Youngistaan,tt3514330,28 Mar 2014,"Drama, Romance","Jackky Bhagnani, Neha Sharma, Farooq Shaikh","Ramiz Ilham Khan, Syed Ahmad Afzal, Maitrey Bajpai",Syed Ahmad Afzal,"Follow the highs and lows in the life of Abhimanyu who is forced to join Indian politics after his father, the Prime Minister of India, suddenly passes away.",5.2,"1,896"
Family,tt1442437,23 Sep 2009,"Comedy, Drama, Romance","Ed O'Neill, Sofía Vergara, Julie Bowen","Steven Levitan, Christopher Lloyd",N/A,Three different but related families face trials and tribulations in their own uniquely comedic ways.,8.5,"410,723"
Kabhie Kabhie,tt0307763,N/A,Drama,"Lillete Dubey, Iravati Harshe, Alyy Khan",N/A,N/A,When friends turn enemies - this forms the essence of Kabhie Kabhie. It is the fascinating and compelling story of the intense friendship of two girls. Radha and Mandira and fierce struggle to stay close against all odds. Professiona,N/A,17
Refugee,tt0250690,30 Jun 2000,"Drama, Musical, Romance","Jackie Shroff, Suniel Shetty, Abhishek Bachchan","J.P. Dutta, O.P. Dutta",J.P. Dutta,A young man who smuggles illegal weapons and people back and forth over the borders between India and Pakistan falls in love with a young woman whose family he helped.,5.2,"1,985"
Jhootha Hi Sahi,tt1322257,22 Oct 2010,"Comedy, Drama, Romance","John Abraham, Paakhi A. Tyrewala, Raghu Ram","Pakhi, Paakhi A. Tyrewala",Abbas Tyrewala,"A suicidal woman's ""final"" call mistakenly connects her to a man who gives her something to live for.",6.2,"1,927"
Bichhoo,tt0252277,07 Jul 2000,"Action, Crime, Drama","Bobby Deol, Rani Mukerji, Ashish Vidyarthi",N/A,Guddu Dhanoa,A contract killer with a tragic past trains a teenage girl to avenge the murder of her family and falls for her in the process.,5.0,"2,947"
Kahin Pyaar Na Ho Jaaye,tt0268401,17 Nov 2000,"Comedy, Drama, Musical","Kashmira Shah, Salman Khan, Jackie Shroff","Sanjay Chhel, Abbaas Hierapurwala, Manoj Lalwani",K. Muralimohana Rao,"Musician Prem Kapoor lives with his sister, Neelu, brother-in-law Vinod, his niece and a nephew. He has plans of getting married to his fiancee, Nisha; unfortunately on the wedding day Nisha does not turn up. When a heart-broken P...",4.4,"2,284"
Zeher,tt0451983,25 Mar 2005,"Crime, Drama, Mystery","Emraan Hashmi, Shamita Shetty, Udita Goswami",Mahesh Bhatt,Mohit Suri,"Siddharth and Sonia are happily married to each other until Anna walks into Siddharth's life. Things takes a worst turn, when Anna gets killed and Siddharth finds himself in deep trouble.",5.6,"2,057"
Mere Baap Pehle Aap,tt1170404,13 Jun 2008,"Comedy, Drama, Romance","Akshaye Khanna, Paresh Rawal, Genelia D'Souza","Manisha Korde, Priyadarshan, Kalavur Ravikumar",Priyadarshan,A son reunites his widowed father to the long lost lover of the latter and urges him to marry.,5.4,"2,235"
Om Jai Jagadish,tt0327071,08 Jul 2002,"Drama, Musical","Waheeda Rehman, Anil Kapoor, Fardeen Khan","Rumi Jaffery, Rahul Nanda",Anupam Kher,"Widowed Mrs. Saraswati Batra (Waheeda Rehman) has brought up three sons with a lot of care and love. Her eldest son Om (Anil Kapoor) is very honest and diligent; her two other sons Jai (Fardeen Khan), and Jagdish (Abhishek Bachcha...",5.5,"2,010"
Fool & Final,tt4153358,28 Nov 2014,Comedy,"Mehran Ahmadi, Siamak Ansari, Bahador Maleki",N/A,N/A,Houshang is a writer and he writes a crime story which he himself involves in it.,4.9,101
Tezaab,tt0096252,11 Nov 1988,"Action, Drama, Romance","Anil Kapoor, Madhuri Dixit, Anupam Kher","N. Chandra, Kamlesh Pandey",N. Chandra,"A college student, who wants to join the army and serve his country, becomes a criminal due to unforeseen circumstances.",6.9,"2,218"
Darna Zaroori Hai,tt0476649,28 Apr 2006,Horror,"Amitabh Bachchan, Arjun Rampal, Anil Kapoor","Ashish Deo, Manish Gupta, Sajid Khan","J.D. Chakravarthi, Manish Gupta, Sajid Khan","Five children take shelter from the rain, inside a spooky bungalow. Encountering an old woman, they follow her upstairs where she proceeds to tell them six scary stories.",5.4,"2,125"
Rang Rasiya,tt1239276,07 Nov 2014,"Biography, Drama, Romance","Randeep Hooda, Nandana Sen, Paresh Rawal","Sanjeev Dutta, Ketan Mehta",Ketan Mehta,A look into the life of 19th century Indian painter Raja Ravi Varma.,7.0,"1,921"
Cash,tt1002966,23 Apr 2008,"Comedy, Crime, Thriller","Jean Dujardin, Jean Reno, Valeria Golino",Éric Besnard,Éric Besnard,"After his brother is killed, Cash allies with a famous thief to pull of the biggest robbery in history.",5.9,"4,854"
Apna Sapna Money Money,tt0493437,10 Nov 2006,"Comedy, Musical, Romance","Riteish Deshmukh, Shreyas Talpade, Riya Sen",Sangeeth Sivan,Sangeeth Sivan,"Kishan is a young man from Goa whose brain is full of every conceivable trick to make a quick buck. He cons people by slipping into different outfits and by assuming many guises. Julie, is a sexy club dancer with quite a local rep...",5.4,"2,042"
Kyo Kii... Main Jhuth Nahin Bolta,tt0297241,21 Sep 2001,"Action, Comedy, Drama","Govinda, Sushmita Sen, Rambha","David Dhawan, Imtiaz Patel, Yunus Sajawal",David Dhawan,"Raj is a successful lawyer due to constant cheating and dishonesty. When his wife comes to know about this, she threatens to leave him. Fearful of his parents' divorce, Raj's son wishes that his father become unable to lie.",5.3,"2,214"
Sarkar 3,tt5742874,12 May 2017,"Action, Crime, Drama","Amitabh Bachchan, Yami Gautam, Abhishek Bachchan","P. Jaya Kumar, Ramkumar Singh, Nilesh Girkar",Ram Gopal Varma,"The third film in Ram Gopal Varma's Sarkar trilogy, which chronicles the exploits of a powerful political figure.",4.9,"2,110"
Crook,tt2747908,03 Oct 2013,"Action, Crime, Thriller","Adam Beach, Leah Gibson, Bill Lake",Adrian Langley,Adrian Langley,"In the course of one fateful day, the lives of a drug kingpin, an obsessed cop, a small time dealer and a cunning call girl converge with deadly consequences.",4.1,244
Raju Chacha,tt0271748,21 Dec 2000,"Action, Comedy, Drama","Kajol, Ajay Devgn, Rishi Kapoor","Anees Bazmee, Robin Bhatt, Javed Siddiqui",Anil Devgan,Raju is hired to pose as uncle to three orphaned kids in order to usurp their inheritance. But he changes his mind after falling in love with their governess and decides to fight the greedy relatives.,5.0,"2,010"
Ek Aur Ek Gyarah,tt0359213,04 Dec 1981,"Action, Thriller","Shashi Kapoor, Vinod Khanna, Neetu Singh",N/A,Ashok Roy,Its a fun masala romp with generous helpings of the recommended masala allowance. There is feisty Hirni (Zarina Wahab) who wears backless cholis and sells liquor while her smoking hot boy-friend Jaamlia (Vinod Khanna) languishes in p,6.3,55
Deshdrohi,tt14845934,N/A,Drama,"Nirmal Aulakh, Sonali Oberoi, Dalbir Singh","Satpal Joshila, Rajinder Rajan",Ranjeet Bhattacharya,N/A,N/A,13
The Blue Umbrella,tt2616880,21 Jun 2013,"Animation, Short, Drama",Sarah Jaffe,Saschka Unseld,Saschka Unseld,"Amidst the rain in a singing city, two umbrellas - one blue, one not - fall eternally in love.",7.5,"10,161"
Dil Maange More,tt0328729,31 Dec 2004,"Musical, Romance","Shahid Kapoor, Ayesha Takia, Tulip Joshi","Kiran Kotrial, Anant Mahadevan, Javed Siddiqui",Anant Mahadevan,"Nikhil, a simple naive young man, twice fails in his quest for love. Will he be third time lucky?",5.2,"1,905"
Khuda Gawah,tt0104607,08 May 1992,"Action, Adventure, Drama","Amitabh Bachchan, Sridevi, Nagarjuna Akkineni","Rajkumar Bedi, Santosh Saroj",Mukul Anand,"Baadshah Khan falls in love with Benazir, a member of a rival clan who has defeated him in a game of buzkashi.",6.5,"2,013"
The Sky Is Pink,tt8902990,11 Oct 2019,"Drama, Romance","Priyanka Chopra Jonas, Farhan Akhtar, Zaira Wasim","Shonali Bose, Juhi Chaturvedi, Nilesh Maniyar",Shonali Bose,"Based on the love story of a couple spanning 25 years and told through the lens of their spunky teenage daughter Aisha Chaudhary, who was diagnosed with pulmonary fibrosis.",7.5,"8,557"
Krantiveer,tt0110280,22 Jul 1994,"Action, Crime, Drama","Nana Patekar, Dimple Kapadia, Atul Agnihotri",K.K. Singh,Mehul Kumar,"Disowned by his parents at a young age, a man ends up in a small village controlled by underworld dons and some very powerful politicians. Lazy, alcoholic and unemployed, he gets influenced by a journalist with a positive mission.",7.4,"2,106"
Aval,tt12403638,07 Nov 2011,Drama,"Lakshmy Ramakrishnan, Sanjeev Venkat, Sreekala Sasidharan",N/A,N/A,The series focuses on the relationship between a mother and her daughter. Jayanthi (Lakshmy Ramakrishnan) arranges for her daughter Amala (Mahalakshmi) to be married to Mahesh (Sanjeev). All's well with them until Amala finds out abo,N/A,N/A
Hamara Dil Aapke Paas Hai,tt0255212,25 Aug 2000,"Action, Drama, Romance","Anil Kapoor, Aishwarya Rai Bachchan, Sonali Bendre","Jainendra Jain, Bhupati Raja",Satish Kaushik,"Inspired by the Telugu film, ""Pelli Chuskundam,"" the plot follows the life of a rape victim (Aishwarya Rai). Now, a disgrace to her family, she is turned away from her house after the sexual assault. But she finds shelter in the c...",5.5,"1,888"
Shagird,tt1828289,13 May 2011,"Action, Crime, Drama","Nana Patekar, Mohit Ahlawat, Rimi Sen","Tigmanshu Dhulia, Mahendra Jakhar, Kamal Pandey",Tigmanshu Dhulia,"A rookie cop questions the tactics of his superior, and attempts to track the abductors of his girlfriend.",7.0,"2,087"
Karma,tt0091328,08 Aug 1986,"Action, Adventure, Drama","Dilip Kumar, Nutan, Naseeruddin Shah","Sachin Bhowmick, Subhash Ghai, Kader Khan",Subhash Ghai,The BSO is a British oriented group who wants to take control of India. When senior police inspector Vishwa Pratap Singh arrests there leader Dr. Michael Dang the authorities blast the jail Dang is logged in killing huge numbers o...,7.2,"2,142"
Missing,tt0084335,12 Mar 1982,"Biography, Drama, History","Jack Lemmon, Sissy Spacek, Melanie Mayron","Costa-Gavras, Donald E. Stewart, Thomas Hauser",Costa-Gavras,"When an idealistic American writer disappears during the Chilean coup d'état in September 1973, his wife and father try to find him.",7.7,"21,279"
Shahenshah,tt0093949,12 Feb 1988,"Action, Adventure","Amitabh Bachchan, Meenakshi Sheshadri, Rohini Hattangadi","Inder Raj Anand, Jaya Bachchan, Santosh Saroj",Tinnu Anand,"Vijay who is a corrupt officer by day, turns a vigilante by night in order to make the city crime free.",6.2,"2,151"
Laila Majnu,tt8011276,07 Sep 2018,"Drama, Romance","Avinash Tiwary, Tripti Dimri, Sumeet Kaul","Imtiaz Ali, Sajid Ali",Sajid Ali,"Taking the leap out of the classic folklore, the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels.",7.8,"3,143"
Aankhen,tt0306434,05 Apr 2002,"Crime, Drama, Thriller","Amitabh Bachchan, Akshay Kumar, Sushmita Sen","Shobhna Desai, Aatish Kapadia, Vipul Amrutlal Shah",Vipul Amrutlal Shah,"After a temperamental man is unceremoniously stripped of his duties as a bank manager, he decides to seek revenge by robbing the bank. He trains three blind men to do this risky task for him.",7.5,"13,184"
Dushman,tt0189492,29 May 1998,"Crime, Drama, Thriller","Kajol, Sanjay Dutt, Ashutosh Rana","Mahesh Bhatt, Sachin Bhowmick, Girish Dhamija",Tanuja Chandra,A woman goes on a hunt to find her twin sister's rapist and murderer.,6.8,"1,973"
Beyond the Clouds,tt0114086,27 Oct 1995,"Drama, Romance","Fanny Ardant, Chiara Caselli, Irène Jacob","Tonino Guerra, Michelangelo Antonioni, Wim Wenders","Michelangelo Antonioni, Wim Wenders",Four stories about short or long relationships between men and women in Italy and France.,6.4,"5,847"
Kyun! Ho Gaya Na...,tt0349703,13 Aug 2004,"Comedy, Drama, Romance","Amitabh Bachchan, Vivek Oberoi, Aishwarya Rai Bachchan","Tushar Hiranandani, Samir Karnik, Vivek Oberoi",Samir Karnik,"A woman decides to marry her childhood friend, after getting her heart broken by her sweetheart.",4.3,"1,804"
Style,tt0306855,28 Dec 2001,"Comedy, Musical, Mystery","Sharman Joshi, Sahil Khan, Riya Sen",N. Chandra,N. Chandra,"In an attempt to woo the rich women, two prankster-loving men becomes prime suspects of a murder of a woman.",6.7,"2,022"
Milenge Milenge,tt0443331,09 Jul 2010,"Drama, Romance","Kareena Kapoor, Shahid Kapoor, Aarti Chhabria",Shiraz Ahmed,Satish Kaushik,"Hoping that destiny will re-unite them, a couple, on the verge of getting married, attempt to locate each other.",4.0,"1,833"
Well Done Abba,tt1397492,26 Mar 2010,Comedy,"Boman Irani, Minissha Lamba, Sammir Dattani","Jayant Kripalani, Sanjeev, Jeelani Bano",Shyam Benegal,"A mild mannered chauffeur finds that the government in his parched village is giving loans to dig one's own well. After fudged photographs and bribes, he has no loan amount left to build his well. Aggrieved, he protests by abjurin...",7.2,"1,890"
Tridev,tt0100816,07 Jul 1989,"Action, Crime, Drama","Sunny Deol, Naseeruddin Shah, Jackie Shroff","Arshad Parvez, Rajiv Rai, K.K. Singh",Rajiv Rai,"When an exiled police officer, a bandit and the son of a police commissioner are framed by a smuggler, they join forces to teach him a lesson and prove their innocence.",6.4,"2,026"
Musafir,tt0430381,10 Dec 2004,"Action, Crime, Drama","Anil Kapoor, Sameera Reddy, Aditya Pancholi","Sanjay Gupta, Sameer Malhotra, Milap Zaveri",Sanjay Gupta,"A small-time criminal, betrayed by his girlfriend and owing money to a fearsome crime lord, agrees to travel to Goa for a drug deal and becomes involved with a local woman and her much older husband, both of who want to kill each ...",5.6,"1,829"
Jalebi,tt8426854,12 Oct 2018,"Drama, Romance","Rhea Chakraborty, Varun Mitra, Digangana Suryavanshi","Pushpdeep Bhardwaj, Kausar Munir, Suhrita Sengupta",Pushpdeep Bhardwaj,A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.,6.0,"2,766"
Khiladi 420,tt0255305,29 Dec 2000,"Action, Romance, Thriller","Akshay Kumar, Mahima Chaudhry, Antara Mali","Uttam Gada, Neeraj Vora",Neeraj Vora,"Dev, a conman, gets killed by his wife Ritu, after she learns that the former is a debt-ridden thug who married her only to repay his debts. Her life turns upside down when she meets Anand, Dev's identical twin brother.",5.2,"1,944"
Soni,tt6078866,18 Jan 2019,"Crime, Drama","Geetika Vidya Ohlyan, Saloni Batra, Vikas Shukla","Ivan Ayr, Kislay Kislay",Ivan Ayr,"While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.",7.1,"2,764"
Phir Milenge,tt0422950,13 Aug 2004,Drama,"Salman Khan, Abhishek Bachchan, Shilpa Shetty Kundra",Atul Sabharwal,Revathi,Tamanna Sahni (Shilpa Shetty) is a dedicated staff member of a top advertising agency; her ideas and designs have mainly contributed to the agency's success. She leaves for a college reunion and meets her college sweetheart Rohit ...,6.2,"2,278"
1920: The Evil Returns,tt0422950,13 Aug 2004,Drama,"Salman Khan, Abhishek Bachchan, Shilpa Shetty Kundra",Atul Sabharwal,Revathi,Tamanna Sahni (Shilpa Shetty) is a dedicated staff member of a top advertising agency; her ideas and designs have mainly contributed to the agency's success. She leaves for a college reunion and meets her college sweetheart Rohit ...,6.2,"2,278"
Akaash Vani,tt2423132,25 Jan 2013,"Drama, Romance","Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh",Luv Ranjan,Luv Ranjan,Follows the love story of a boy and a girl.,6.3,"1,993"
Pihu,tt8458202,16 Nov 2018,"Drama, Thriller","Rahul Bagga, Pihu Myra Vishwakarma, Prerna Vishwakarma",N/A,Vinod Kapri,"The social thriller starring the two year baby girl. She is living in a home where the adults are going through a complicated phase. Being a toddler, she is occasionally trapped in the accidental situations.",6.7,"2,434"
Sixteen,tt2976172,12 Jul 2013,"Drama, Romance, Thriller","Wamiqa Gabbi, Izabelle Leite, Mehak Manwani","Raj Purohit, Pawan Sony",Raj Purohit,"Welcome to sixteen's world. A world where growing up has speeded up multifold times. Once upon a time, it was the age of innocence, the age of sweetness, the age when one had the first crush. But times have changed. In the times o...",6.3,"1,750"
Mirzya,tt2976172,12 Jul 2013,"Drama, Romance, Thriller","Wamiqa Gabbi, Izabelle Leite, Mehak Manwani","Raj Purohit, Pawan Sony",Raj Purohit,"Welcome to sixteen's world. A world where growing up has speeded up multifold times. Once upon a time, it was the age of innocence, the age of sweetness, the age when one had the first crush. But times have changed. In the times o...",6.3,"1,750"
Devdas,tt0238936,12 Jul 2002,"Drama, Musical, Romance","Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit","Saratchandra Chatterjee, Prakash Kapadia, Sanjay Leela Bhansali",Sanjay Leela Bhansali,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",7.6,"41,546"
Ek Paheli Leela,tt4500734,10 Apr 2015,"Mystery, Romance, Thriller","Sunny Leone, Rahul Dev, Mohit Ahlawat","Bobby Khan, Jojo Khan, Bunty Rathore",Bobby Khan,"Two lovers, having been denied true love 300 years ago, are reincarnated in order to correct that wrong.",3.8,"1,784"
Brahman Naman,tt5240748,07 Jul 2016,Comedy,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad",Naman Ramachandran,Qaushiq Mukherjee,"This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything, except how to talk to women.",5.5,"1,890"
Suhaag,tt0111308,20 Oct 1994,"Action, Comedy, Drama","Ajay Devgn, Akshay Kumar, Karisma Kapoor","Honey Irani, Tanveer Khan",Kuku Kohli,"Collegian Ajay Sharma was born on 2nd April 1968 and lives in Bombay with his widowed mom, Asha. He is friendly with fellow-collegian, the wealthy Raj Sinha, and both often end up getting beat-up by goons and Madhu (Raj's girlfrie...",5.7,"1,889"
Aiyyaa,tt2255934,12 Oct 2012,"Comedy, Romance","Rani Mukerji, Prithviraj Sukumaran, Nirmiti Sawant",N/A,Sachin Kundalkar,"A woman goes on the hunt for her dream man, armed with her wild imagination, her passion for Masala-films, and her ultra-sensitive sense of smell.",4.3,"1,871"
Saaransh,tt0088031,25 May 1984,Drama,"Rohini Hattangadi, Anupam Kher, Soni Razdan","Mahesh Bhatt, Amit Khanna, Sujit Sen",Mahesh Bhatt,"An old couple lend a room on rent after recent death of the bread earner of the family, their only son. A budding actress starts living with them, who is in love with a local politician's only son. The movie shows what later ensues.",8.1,"1,898"
Hawaa Hawaai,tt3501994,09 May 2014,"Drama, Family, Sport","Makrand Deshpande, Partho A. Gupte, Devraya Gole",Amole Gupte,Amole Gupte,Arjun dreams of skating. Can Arjun follow his dream and be a champion?,7.3,"1,771"
Mr. X,tt3848938,17 Apr 2015,"Action, Crime, Drama","Emraan Hashmi, Amyra Dastur, Tanmay Bhat","Vikram Bhatt, Shagufta Rafique",Vikram Bhatt,"After gaining the power of invisibility; a man becomes a vigilante, in order to take revenge on those who have wronged him.",3.7,"2,174"
Do Aankhen Barah Haath,tt3848938,17 Apr 2015,"Action, Crime, Drama","Emraan Hashmi, Amyra Dastur, Tanmay Bhat","Vikram Bhatt, Shagufta Rafique",Vikram Bhatt,"After gaining the power of invisibility; a man becomes a vigilante, in order to take revenge on those who have wronged him.",3.7,"2,174"
Aap Kaa Surroor,tt3848938,17 Apr 2015,"Action, Crime, Drama","Emraan Hashmi, Amyra Dastur, Tanmay Bhat","Vikram Bhatt, Shagufta Rafique",Vikram Bhatt,"After gaining the power of invisibility; a man becomes a vigilante, in order to take revenge on those who have wronged him.",3.7,"2,174"
Jewel Thief,tt0061842,27 Oct 1967,"Crime, Drama, Musical","Ashok Kumar, Dev Anand, Vyjayanthimala","K.A. Narayan, Vijay Anand",Vijay Anand,A Police Commissioner's son comes under suspicion for being a jewel thief.,7.9,"1,907"
Raaz: Reboot,tt5639388,16 Sep 2016,"Horror, Mystery, Romance","Emraan Hashmi, Kriti Kharbanda, Suzanna Mukherjee","Vikram Bhatt, Girish Dhamija",Vikram Bhatt,"The fourth installment of a horror series that explores secrets, mysteries and human frailties.",4.4,"1,957"
Good Boy Bad Boy,tt0489486,11 May 2007,"Comedy, Musical","Tusshar Kapoor, Emraan Hashmi, Isha Sharvani",Ashwini Chaudhary,Ashwini Chaudhary,Two college students exchange their classes after the college management mixed their identical names by mistake.,3.9,"1,820"
Do Bigha Zamin,tt0045693,24 Jul 1953,Drama,"Balraj Sahni, Nirupa Roy, Ratan Kumar","Salil Choudhury, Paul Mahendra, Hrishikesh Mukherjee",Bimal Roy,"In the hope of earning enough money to pay off his debts and save his land, a poor farmer becomes a rickshaw puller in the Calcutta and faces many difficulties.",8.4,"2,026"
Samay: When Time Strikes,tt0384491,10 Oct 2003,"Crime, Mystery, Thriller","Sushmita Sen, Lucy Bartholomew, Tushar Dalvi","Robbie Grewal, Sameer Kohli",Robbie Grewal,Assistant Commissioner of Police (ACP) Malvika Chauhan battles time to obtain &amp; solve the clues to solve the various murders occurring in the city.,7.0,"1,916"
Seeta Aur Geeta,tt0078222,17 Nov 1972,"Adventure, Comedy, Drama","Dharmendra, Sanjeev Kumar, Hema Malini","Javed Akhtar, Satish Bhatnagar, Salim Khan",Ramesh Sippy,"Long-suffering heiress Seeta is treated worse than a servant by her abusive money-grubbing aunt. Meanwhile, her long-lost twin sister Geeta grows up to be a gutsy street-performer. One day, the girls unintentionally swap places.",6.9,"1,882"
Bhoomi,tt10893170,14 Jan 2021,"Action, Drama","Jayam Ravi, Nidhhi Agerwal, Rnr Mahonar",Lakshman,Lakshman,Bhoominathan is an astronaut at NASA who has to resolve an unfinished business in his village before taking off to Mars.,4.7,"3,208"
Yeh Lamhe Judaai Ke,tt0385351,09 Apr 2004,"Drama, Mystery, Romance","Shah Rukh Khan, Raveena Tandon, Navneet Nishan",N/A,"Pavan Kaul, Birendra Nath Tiwari","Dushyant and Jaya are childhood friends. In spite of his familys poverty, Dushyant has one great ambition in life: to become a successful singer. Will he achieve his ambition?",3.1,"1,729"
Aks,tt0289845,13 Jul 2001,"Action, Crime, Horror","Amitabh Bachchan, Raveena Tandon, Manoj Bajpayee","Renzil D'Silva, Rakeysh Omprakash Mehra, Kamlesh Pandey",Rakeysh Omprakash Mehra,"Raghavan Ghatge, a psychotic terrorist, and Manu Verma, the cop who tracks him down, shoot each other simultaneously, the result being that Raghavan's soul is transferred into Verma's body and vice versa.",5.8,"1,707"
Makdee,tt0341455,22 Nov 2002,"Comedy, Family, Fantasy","Shabana Azmi, Shweta Basu Prasad, Makrand Deshpande","Abbas Tyrewala, Vishal Bhardwaj",Vishal Bhardwaj,"In a small North Indian village, Legend has it that a 100 years-old witch lives in an abandoned mansion on the village outskirts, and any person who goes inside is turned into an animal. In the same village a clever, naughty girl nam",7.5,"1,954"
Behen Hogi Teri,tt6537508,09 Jun 2017,Comedy,"Rajkummar Rao, Shruti Haasan, Gautam Gulati","Sanchit Gupta, Vinit Vyas","Ajay Pannalal, Arvind Singh Rajpoot",A jobless youngster has to fight with criminal rivals who come to snatch away his neighborhood lady love as a bride and also his family which seems not to take note of his feelings towards the girl next door.,5.6,"2,114"
Gandhi My Father,tt0459293,27 Jul 2007,"Biography, Drama, History","Akshaye Khanna, Darshan Jariwala, Shefali Shah","Feroz Abbas Khan, Chandulal Dalal, Neelamben Parikh",Feroz Abbas Khan,The account of troubled relationship between Mahatma Gandhi and his eldest son.,7.3,"1,660"
Babumoshai Bandookbaaz,tt6711660,25 Aug 2017,"Action, Crime, Thriller","Nawazuddin Siddiqui, Bidita Bag, Jatin Goswami",Ghalib Asad Bhopali,Kushan Nandy,"The movie, filled with humor and romance, is a quirky ride into the life and times of a small time contract killer, Babu, played by Nawazuddin Siddiqui. The film spins around his love, his friends, his rivalries and his revenge.",6.9,"2,192"
Union Leader,tt6395306,24 Sep 2017,Drama,"Rahul Bhatt, Tillotama Shome, Zala Akash","Sanjay Patel, John Winston Rainey, Chinmay Sankrat",Sanjay Patel,"Resigned to his fate as a worker in a notoriously shoddy chemical plant, Jay realizes that he must not only find a way to support his family, but also overcome grave social and legal injustice in the system.",7.3,"1,622"
